"Date","Price","Open","High","Low","Vol.","Change %"
"02/02/2023","497.21","474.74","498.77","467.90","4.92M","4.76%"
"02/01/2023","474.64","500.23","502.29","474.64","2.63M","-4.74%"
"01/31/2023","498.28","514.01","515.57","498.28","2.97M","-3.57%"
"01/30/2023","516.74","510.10","522.12","506.88","3.27M","1.51%"
"01/27/2023","509.03","496.23","509.32","489.88","3.16M","1.60%"
"01/26/2023","501.02","494.67","506.29","482.94","2.57M","1.28%"
"01/25/2023","494.67","502.97","507.76","476.99","3.17M","-1.23%"
"01/24/2023","500.82","504.04","508.54","490.47","2.58M","-0.48%"
"01/23/2023","503.26","503.07","520.06","497.11","3.75M","0.47%"
"01/20/2023","500.92","500.14","502.58","495.84","1.57M","0.75%"
"01/19/2023","497.21","498.18","508.83","495.35","2.63M","-0.99%"
"01/18/2023","502.19","501.11","508.24","493.20","3.00M","0.61%"
"01/17/2023","499.16","485.87","501.21","485.00","2.98M","3.09%"
"01/16/2023","484.21","463.31","485.00","460.18","2.37M","4.91%"
"01/13/2023","461.55","464.58","475.72","456.77","2.49M","-0.65%"
"01/12/2023","464.58","455.89","467.12","434.88","3.14M","3.73%"
"01/11/2023","447.88","467.90","473.96","446.80","2.70M","-4.28%"
"01/10/2023","467.90","471.61","475.91","456.77","2.61M","-0.83%"
"01/09/2023","471.81","489.29","489.59","467.51","3.25M","-3.61%"
"01/06/2023","489.49","475.72","497.21","466.14","3.53M","2.88%"
"01/05/2023","475.81","501.31","504.04","475.72","3.08M","-4.79%"
"01/04/2023","499.75","514.20","515.77","499.16","2.11M","-2.81%"
"01/03/2023","514.20","530.03","532.37","510.98","2.42M","-2.43%"
"01/02/2023","527.00","520.06","532.66","517.23","2.55M","2.86%"
"12/30/2022","512.35","513.32","519.87","508.24","3.21M","0.10%"
"12/29/2022","511.86","486.66","513.81","483.43","4.95M","6.79%"
"12/28/2022","479.33","479.13","494.86","468.49","3.80M","0.47%"
"12/27/2022","477.08","482.55","485.39","475.13","1.67M","-1.07%"
"12/26/2022","482.26","477.57","483.04","476.11","2.07M","2.75%"
"12/23/2022","469.37","472.20","473.37","463.60","1.87M","-0.33%"
"12/22/2022","470.93","477.67","482.55","470.25","2.14M","-0.29%"
"12/21/2022","472.30","474.74","484.51","471.81","3.51M","-0.47%"
"12/20/2022","474.54","459.11","481.09","452.56","4.41M","3.38%"
"12/19/2022","459.01","438.30","459.11","438.30","3.99M","6.55%"
"12/16/2022","430.78","418.08","439.96","416.91","4.60M","3.71%"
"12/15/2022","415.35","418.57","423.65","407.14","2.39M","0.90%"
"12/14/2022","411.64","432.25","436.45","410.66","3.49M","-4.77%"
"12/13/2022","432.25","431.66","437.81","427.85","3.20M","0.73%"
"12/12/2022","429.12","421.01","431.95","421.01","3.05M","2.45%"
"12/09/2022","418.86","407.53","421.99","407.34","2.28M","2.80%"
"12/08/2022","407.44","407.83","410.56","399.03","2.73M","-0.10%"
"12/07/2022","407.83","421.01","424.14","401.97","3.19M","-2.84%"
"12/06/2022","419.74","416.42","423.75","414.76","2.86M","0.84%"
"12/05/2022","416.23","432.83","434.49","415.05","4.56M","-3.38%"
"12/02/2022","430.78","435.28","437.81","429.51","2.75M","-1.03%"
"12/01/2022","435.28","439.28","443.19","432.34","2.56M","0.16%"
