"Date","Price","Open","High","Low","Vol.","Change %"
"10/04/2021","1,221.27","1,229.58","1,234.16","1,221.27","1.38B","-0.61%"
"10/01/2021","1,228.75","1,226.68","1,234.84","1,222.85","1.38B","-0.40%"
"09/30/2021","1,233.71","1,222.91","1,237.76","1,215.94","1.86B","1.00%"
"09/29/2021","1,221.51","1,221.99","1,225.85","1,219.79","1.46B","0.62%"
"09/28/2021","1,214.01","1,220.51","1,222.81","1,210.37","1.59B","-0.59%"
"09/27/2021","1,221.24","1,222.47","1,225.99","1,210.26","1.46B","0.59%"
"09/24/2021","1,214.13","1,225.84","1,225.84","1,206.20","1.75B","-1.29%"
"09/23/2021","1,230.01","1,239.93","1,247.29","1,224.31","2.37B","-0.69%"
"09/22/2021","1,238.57","1,224.27","1,238.57","1,219.11","1.30B","1.74%"
"09/21/2021","1,217.42","1,229.87","1,232.57","1,215.18","1.47B","-0.42%"
"09/20/2021","1,222.59","1,232.61","1,232.71","1,217.49","1.47B","-1.88%"
"09/17/2021","1,246.06","1,248.17","1,251.91","1,237.85","1.30B","0.24%"
"09/16/2021","1,243.07","1,250.90","1,257.09","1,238.57","1.24B","-0.32%"
"09/15/2021","1,247.06","1,257.65","1,263.07","1,244.22","1.36B","-0.92%"
"09/14/2021","1,258.70","1,264.27","1,267.00","1,253.38","1.51B","-0.30%"
"09/13/2021","1,262.50","1,262.71","1,270.88","1,258.07","1.35B","0.06%"
"09/10/2021","1,261.68","1,277.84","1,279.12","1,260.17","1.27B","-1.09%"
"09/09/2021","1,275.56","1,257.68","1,275.56","1,254.74","1.40B","1.20%"
"09/08/2021","1,260.43","1,279.66","1,281.45","1,258.75","1.56B","-1.48%"
"09/07/2021","1,279.34","1,298.30","1,300.41","1,279.34","1.42B","-1.53%"
"09/06/2021","1,299.20","1,297.22","1,303.74","1,297.22","1.16B","0.36%"
"09/03/2021","1,294.52","1,305.31","1,306.70","1,290.32","1.29B","-0.75%"
"09/02/2021","1,304.30","1,300.49","1,309.56","1,297.75","1.20B","0.33%"
"09/01/2021","1,299.97","1,303.16","1,306.53","1,295.52","1.33B","-0.02%"
"08/31/2021","1,300.19","1,297.05","1,302.63","1,291.07","1.56B","0.88%"
"08/27/2021","1,288.90","1,283.97","1,288.90","1,277.90","1.36B","0.53%"
"08/26/2021","1,282.05","1,289.74","1,297.19","1,278.91","1.40B","-0.39%"
"08/25/2021","1,287.04","1,297.02","1,302.87","1,285.85","1.53B","-0.84%"
"08/24/2021","1,297.94","1,297.10","1,303.82","1,295.91","1.33B","0.46%"
"08/23/2021","1,291.98","1,286.29","1,295.17","1,285.37","1.39B","1.15%"
"08/20/2021","1,277.29","1,272.18","1,281.96","1,265.81","1.40B","0.37%"
"08/19/2021","1,272.61","1,273.76","1,278.48","1,267.66","1.52B","-0.74%"
"08/18/2021","1,282.04","1,297.65","1,298.27","1,280.23","1.86B","-0.93%"
"08/17/2021","1,294.09","1,286.26","1,294.09","1,281.71","1.64B","0.50%"
"08/16/2021","1,287.65","1,283.94","1,292.47","1,283.94","1.66B","0.50%"
"08/13/2021","1,281.19","1,278.81","1,282.77","1,274.01","1.18B","0.15%"
"08/12/2021","1,279.26","1,253.69","1,282.24","1,253.69","1.73B","2.68%"
"08/11/2021","1,245.83","1,271.59","1,272.03","1,245.30","1.85B","-1.94%"
"08/10/2021","1,270.52","1,260.51","1,274.44","1,259.22","1.65B","0.49%"
"08/09/2021","1,264.36","1,269.79","1,274.78","1,263.43","1.53B","-0.31%"
"08/06/2021","1,268.30","1,265.63","1,273.50","1,258.28","1.58B","0.31%"
"08/05/2021","1,264.39","1,241.37","1,264.39","1,240.54","1.80B","1.47%"
"08/04/2021","1,246.09","1,247.05","1,254.85","1,246.09","1.63B","0.16%"
"08/03/2021","1,244.08","1,238.12","1,244.54","1,229.60","1.97B","0.68%"
"08/02/2021","1,235.73","1,236.43","1,241.68","1,231.83","1.89B","0.31%"
"07/30/2021","1,231.93","1,222.03","1,231.93","1,219.49","1.57B","0.12%"
"07/29/2021","1,230.51","1,208.81","1,232.40","1,208.81","1.44B","2.57%"
"07/28/2021","1,199.66","1,197.46","1,205.21","1,193.86","1.16B","0.08%"
"07/27/2021","1,198.70","1,186.47","1,199.08","1,180.55","1.28B","0.92%"
