,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
79,Dönem Başı Bakiyeler,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
80,Muhasebe Politikalarındaki Değişikliklere İlişkin Düzeltmeler,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
81,Muhasebe Politikalarındaki Değişikliklere İlişkin Düzeltmeler,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
82,Muhasebe Politikalarındaki Zorunlu Değişikliklere İlişkin Düzeltmeler,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
83,Muhasebe Politikalarındaki Zorunlu Değişikliklere İlişkin Düzeltmeler,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
84,Muhasebe Politikalarındaki Gönüllü Değişikliklere İlişkin Düzeltmeler,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
85,Muhasebe Politikalarındaki Gönüllü Değişikliklere İlişkin Düzeltmeler,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
86,Hatalara İlişkin Düzeltmeler,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
87,Hatalara İlişkin Düzeltmeler,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
88,Diğer Düzeltmeler,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
89,Diğer Düzeltmeler,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
90,Düzeltmelerden Sonraki Tutar,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
91,Düzeltmelerden Sonraki Tutar,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
92,Transferler,Cari Dönem 01.01.2022 - 31.12.2022,,-326.139.269,,,,,,,,24.981.107,818.839.319,-517.681.157,,0,,0
93,Transferler,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
94,Toplam Kapsamlı Gelir (Gider),Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
95,Toplam Kapsamlı Gelir (Gider),Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
96,Dönem Karı (Zararı),Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,1.827.009.411,,1.827.009.411,,1.827.009.411
97,Dönem Karı (Zararı),Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
98,Diğer Kapsamlı Gelir (Gider),Cari Dönem 01.01.2022 - 31.12.2022,,,388.968.942,-3.687.003,,,,,,,,,,385.281.939,,385.281.939
99,Diğer Kapsamlı Gelir (Gider),Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
100,Sermaye Arttırımı,Cari Dönem 01.01.2022 - 31.12.2022,,326.139.269,,,,,,,,,-326.139.269,,,0,,0
101,Sermaye Arttırımı,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
102,Sermaye Azaltımı,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
103,Sermaye Azaltımı,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
104,Sermaye Avansı,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
105,Sermaye Avansı,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
106,Birleşme/Bölünme/Tasfiye Etkisi,Cari Dönem 01.01.2022 - 31.12.2022,,,,,,,,,,,,,,,,
107,Birleşme/Bölünme/Tasfiye Etkisi,,,,,,,,,,,,,,,,,
108,Ortak Kontrole Tabi Teşebbüs veya İşletmeleri İçeren Birleşmelerin Etkisi,,,,,,,,,,,,,,,,,
109,Ortak Kontrole Tabi Teşebbüs veya İşletmeleri İçeren Birleşmelerin Etkisi,,,,,,,,,,,,,,,,,
110,Dönemde Ödenen Kar Payı Avansları,,,,,,,,,,,,,,,,,
111,Dönemde Ödenen Kar Payı Avansları,,,,,,,,,,,,,,,,,
112,Kar Payları,,,,,,,,,,,,,,,,,
113,Kar Payları,,,,,,,,,,,,,,,,,
114,Kar Payı Hariç Pay Sahiplerine Yapılan Diğer Ödemeler,,,,,,,,,,,,,,,,,
115,Kar Payı Hariç Pay Sahiplerine Yapılan Diğer Ödemeler,,,,,,,,,,,,,,,,,
