Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA 30,SMA 100,Buy_Signal_price,Sell_Signal_price,balance_try,balance_stock,calc_balance_try,balance_try_al_yat,balance_stock_al_yat,calc_balance_try_al_yat,company,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,MACD_Buy_Signal_price,MACD_Sell_Signal_price,positive
2023-08-08 12:30:00+03:00,52.04999923706055,52.04999923706055,51.650001525878906,52.04999923706055,5429528,0.0,0.0,53.54999974568685,51.179499778747555,,,0.0,1987.1961875287795,103433.5600447626,0,2146.8440547232963,111743.23141043555,SISE CAM,-0.27876932320427983,-0.2432704017996757,-0.03549892140460411,,,False
2023-08-08 13:30:00+03:00,52.0,52.20000076293945,51.849998474121094,52.04999923706055,3955903,0.0,0.0,53.45999972025553,51.21139976501465,,,0.0,1987.1961875287795,103433.5600447626,0,2146.8440547232963,111743.23141043555,SISE CAM,-0.32792506887881245,-0.23394091797936667,-0.09398415089944578,,,True
2023-08-08 14:30:00+03:00,52.0,52.25,51.900001525878906,52.150001525878906,3706438,0.0,0.0,53.38833312988281,51.249499778747555,,,0.0,1987.1961875287795,103433.5600447626,0,2146.8440547232963,111743.23141043555,SISE CAM,-0.35472297685051757,-0.20859106076085743,-0.14613191608966014,,,True
2023-08-08 15:30:00+03:00,52.150001525878906,52.349998474121094,52.04999923706055,52.20000076293945,4392035,0.0,0.0,53.32166646321615,51.287899780273435,,,0.0,1987.1961875287795,103632.28421184659,0,2146.8440547232963,111957.92072964396,SISE CAM,-0.36768751858020465,-0.1772444819924356,-0.19044303658776907,,,True
2023-08-08 16:30:00+03:00,52.20000076293945,52.25,51.349998474121094,51.45000076293945,10712953,0.0,0.0,53.23333320617676,51.31499977111817,,,0.0,1987.1961875287795,103731.64250511267,0,2146.8440547232963,112065.26129446809,SISE CAM,-0.43348381174642014,-0.19443262012692086,-0.23905119161949928,,,False
2023-08-08 17:30:00+03:00,51.400001525878906,51.849998474121094,51.29999923706055,51.650001525878906,5036198,0.0,0.0,53.186666615804036,51.349099769592286,,,0.0,1987.1961875287795,102241.24536446609,0,2146.8440547232963,110455.12825342562,SISE CAM,-0.464139150810297,-0.18007036735263815,-0.28406878345765885,,,True
2023-08-09 09:30:00+03:00,51.599998474121094,51.900001525878906,51.099998474121094,51.650001525878906,0,0.0,0.0,53.13166669209798,51.38619979858399,,,0.0,1987.1961875287795,102638.6861180822,0,2146.8440547232963,110884.4987022823,SISE CAM,-0.4828675315491111,-0.15903899847316183,-0.3238285330759493,,,True
2023-08-09 10:30:00+03:00,51.650001525878906,51.650001525878906,50.849998474121094,51.099998474121094,8154089,0.0,0.0,53.07666664123535,51.42199977874756,,,0.0,1987.1961875287795,102638.6861180822,0,2146.8440547232963,110884.4987022823,SISE CAM,-0.535912887749106,-0.1696674837385253,-0.36624540401058064,,,False
2023-08-09 11:30:00+03:00,51.099998474121094,51.70000076293945,51.099998474121094,51.599998474121094,5709241,0.0,0.0,53.039999898274736,51.460999755859376,,,0.0,1987.1961875287795,101545.72215049989,0,2146.8440547232963,109703.72792053639,SISE CAM,-0.5314793304955501,-0.13218714118797553,-0.39929218930757454,,,True
2023-08-09 12:30:00+03:00,51.599998474121094,51.650001525878906,51.400001525878906,51.599998474121094,4229042,0.0,0.0,52.978333155314125,51.49639972686768,,,0.0,1987.1961875287795,102539.32024426428,0,2146.8440547232963,110777.14994789803,SISE CAM,-0.521949001245666,-0.09812544955047314,-0.42382355169519287,,,True
2023-08-09 13:30:00+03:00,51.599998474121094,51.599998474121094,51.400001525878906,51.54999923706055,3266942,0.0,0.0,52.913333129882815,51.52949970245361,,,0.0,1987.1961875287795,102539.32024426428,0,2146.8440547232963,110777.14994789803,SISE CAM,-0.512522625430833,-0.07095925898851208,-0.44156336644232097,,,True
2023-08-09 14:30:00+03:00,51.54999923706055,51.79999923706055,51.20000076293945,51.25,4889608,0.0,0.0,52.83666648864746,51.56059970855713,,,0.0,1987.1961875287795,102439.96195099821,0,2146.8440547232963,110669.8093830739,SISE CAM,-0.5232281376442032,-0.0653318169615057,-0.4578963206826975,,,True
